Date,LSTM_Forecast
2023-04-30,43.016895
2023-05-31,43.528675
2023-06-30,43.133324
2023-07-31,42.64287
2023-08-31,41.53562
2023-09-30,41.314335
2023-10-31,40.447563
2023-11-30,40.71637
2023-12-31,40.579346
2024-01-31,40.7429
2024-02-29,40.71524
2024-03-31,40.6246
2024-04-30,40.396057
2024-05-31,40.294823
2024-06-30,40.101967
2024-07-31,39.902233
2024-08-31,39.71271
2024-09-30,39.612198
2024-10-31,39.52301
2024-11-30,39.520042
2024-12-31,39.489292
2025-01-31,39.46665
2025-02-28,39.416767
2025-03-31,39.354355
